analysesRemaining,analysesUsed,analysisCount,company,daysSinceSignup,email,emailVerified,firstName,lastAnalysisDate,lastName,loginCount,signupDate,subscriptionTier
1,2,2,,13,infodiamonddusape@gmail.com,False,,2025-12-19T17:09:00.668Z,,3,2025-12-19T16:38:36.743Z,free
999999,0,0,,12,stripe-1766192570729-176795040cb4b@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:02:51.942Z,starter
999999,0,0,,12,stripe-1766192586438-d343d3493c2f88@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:03:07.734Z,starter
999999,0,0,,12,stripe-1766192597028-ecef496e4392c@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:03:17.475Z,starter
3,0,0,,12,stripe-1766192607395-106256da15f02@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:03:27.947Z,free
3,0,0,,12,stripe-1766192615959-d72d7e5afc33f8@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:03:36.499Z,free
3,0,0,,12,stripe-1766192636868-3da3974a66c068@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:03:57.374Z,free
999999,0,0,,12,stripe-1766192649054-c319a63b8e29c@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:04:10.153Z,starter
999999,0,0,,12,stripe-1766192661185-634b83c5e207a@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:04:22.169Z,starter
999999,0,0,,12,stripe-1766192673797-45fef1962c3f8@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:04:34.663Z,starter
999999,0,0,,12,stripe-1766192685325-d1e4de2a1f012@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:04:45.784Z,starter
999999,0,0,,12,stripe-1766192694527-660c6161f8c328@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:04:55.089Z,starter
999999,0,0,,12,stripe-1766192708045-dc64aadda5314@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:05:08.541Z,starter
3,0,0,,12,stripe-1766192719412-152439d385b568@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:05:19.955Z,free
3,0,0,,12,stripe-1766192728536-87351917b4bcd8@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:05:29.160Z,free
3,0,0,,12,stripe-1766192740800-ad3e8869a32e@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:05:42.184Z,free
999999,0,0,,12,stripe-1766192777035-062cc177975e48@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:06:18.135Z,starter
999999,0,0,,12,stripe-1766192786707-462954616541a@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:06:27.177Z,starter
999999,0,0,,12,stripe-1766192795855-dd4da5c2a94d28@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:06:36.337Z,starter
3,0,0,,12,stripe-1766192804547-224d2b52fad3e@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:06:45.011Z,free
3,0,0,,12,stripe-1766192814675-04c885fdde2c4@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:06:55.333Z,free
3,0,0,,12,stripe-1766192824212-87f5b1b94f9a8@propiq-chaos-test.local,False,Chaos,,Test,1,2025-12-20T01:07:04.774Z,free
3,0,0,,12,test-1766253089143@example.com,False,,,,1,2025-12-20T17:51:30.019Z,free
3,0,0,,12,bugtest-1766253108672@example.com,False,,,,1,2025-12-20T17:51:49.495Z,free
3,0,0,,12,test-1766253739335@example.com,False,,,,1,2025-12-20T18:02:20.119Z,free
3,0,0,,12,bugtest-1766253765959@example.com,False,,,,1,2025-12-20T18:02:46.746Z,free
3,0,0,,12,test-1766253814185@example.com,False,,,,1,2025-12-20T18:03:34.959Z,free
3,0,0,,12,bugtest-1766253840060@example.com,False,,,,1,2025-12-20T18:04:00.802Z,free
3,0,0,,12,test-1766253886489@example.com,False,,,,1,2025-12-20T18:04:47.241Z,free
3,0,0,,12,bugtest-1766253908157@example.com,False,,,,1,2025-12-20T18:05:08.897Z,free
